Dep,G,C,D
Ille-et-Vilaine,0.32044258244709417,0.40938876356214415,0.2701686539907616
Indre,0.24964891433509773,0.300745381873177,0.4496057037917252
Indre-et-Loire,0.27679251441627684,0.35806767489935803,0.3651398106843652
Isère,0.3032928942807626,0.33589688041594457,0.36081022530329293
Jura,0.2760091893665901,0.3067498085548627,0.41724100207854725
Landes,0.2703526338702656,0.3865912059207663,0.34305616020896823
Loir-et-Cher,0.23223158349535536,0.318751350183625,0.4490170663210197
Loire,0.2639654240950837,0.31474878444084275,0.42128579146407347
Haute-Loire,0.24384156266956047,0.2639175257731959,0.4922409115572436
Loire-Atlantique,0.33272217428817946,0.3944132873166523,0.2728645383951683
Loiret,0.23212141063434868,0.34239545801943444,0.4254831313462168
Lot,0.31614084203725634,0.3587810918488209,0.32507806611392265
Lot-et-Garonne,0.24688932547478717,0.30255402750491156,0.45055664702030124
Lozère,0.2703516507151306,0.3118614904828476,0.4177868588020217
Maine-et-Loire,0.27152531441470495,0.3951413522519618,0.3333333333333333
Manche,0.24756440788049364,0.3588439056072743,0.3935916865122321
Marne,0.2033659066232356,0.3155266015200869,0.4811074918566775
Haute-Marne,0.18680709534368073,0.2596452328159645,0.5535476718403547
Mayenne,0.23719734304692522,0.4072209127919434,0.3555817441611313
Meurthe-et-Moselle,0.27195095248522005,0.3157433763958835,0.41230567111889643
Meuse,0.20221394125383602,0.28485313459009204,0.512932924156072
Morbihan,0.28154710458081245,0.3767286084701815,0.34172428694900603
Moselle,0.23570478723404256,0.30574024822695034,0.45855496453900707
Nièvre,0.2567522875096461,0.31021938044317054,0.4330283320471834
Nord,0.27605881062102267,0.29427254772876893,0.4296686416502085
Oise,0.22741810962832243,0.2752839969118782,0.49729789345979925
Orne,0.21631858024023376,0.3248566172492155,0.4588248025105508
Pas-de-Calais,0.23807982740021572,0.2473570658036677,0.5145631067961164
Puy-de-Dôme,0.3017147818537009,0.36118949424788366,0.3370957238984154
Pyrénées-Atlantiques,0.3041354607619668,0.39292304352545315,0.30294149571258006
Hautes-Pyrénées,0.3063903656287295,0.3429532385808831,0.3506563957903873
Pyrénées-Orientales,0.2608266637430106,0.26444468808244703,0.4747286481745422
Bas-Rhin,0.2507665352606219,0.3451598773543583,0.40407358738501975
Haut-Rhin,0.23368538076709286,0.324402445803224,0.44191217342968314
Rhône,0.2963362068965517,0.37596982758620684,0.3276939655172414
Haute-Saône,0.223956043956044,0.2628571428571429,0.5131868131868131
Saône-et-Loire,0.2368961417918513,0.3194639576353615,0.4436399005727872
Sarthe,0.26127004768097095,0.30721716514954484,0.43151278716948416
Savoie,0.2906334596643205,0.331997834325934,0.3773687060097456
Haute-Savoie,0.2835788325150027,0.36279323513366063,0.3536279323513366
Paris,0.3476185424843534,0.45422721968812985,0.1981542378275167
Seine-Maritime,0.2760091893665901,0.30806257521058966,0.41592823542282026
Seine-et-Marne,0.2691111111111111,0.32211111111111107,0.4087777777777778
Yvelines,0.2603036876355749,0.41832971800433844,0.3213665943600868
Deux-Sèvres,0.28161109276989105,0.3695389017277429,0.348850005502366
Somme,0.23228602383531965,0.28602383531961,0.48169014084507045
Tarn,0.27365784601981924,0.31895894587825335,0.40738320810192746
Tarn-et-Garonne,0.2491578832989243,0.2990329240465066,0.4518091926545692
Var,0.18715175352343497,0.29837211843111544,0.5144761280454495
Vaucluse,0.25021767522855903,0.27753591641271225,0.47224640835872883
Vendée,0.22941620805007015,0.38437466278191434,0.3862091291680156
Vienne,0.2916666666666667,0.34323324630113144,0.3651000870322019
Haute-Vienne,0.30314875135722047,0.3439739413680782,0.35287730727470146
Vosges,0.2264088761946611,0.2839723168186312,0.4896188069867077
Yonne,0.2231314784506274,0.27965084560829245,0.49721767594108024
Territoire de Belfort,0.25927152317880797,0.29845474613686535,0.44227373068432674
Essonne,0.30803915099527107,0.3584075662597603,0.3335532827449686
Hauts-de-Seine,0.28632106294924853,0.46242648660422564,0.25125245044652583
Seine-Saint-Denis,0.4123745819397993,0.3216276477146042,0.26599777034559646
Val-de-Marne,0.35379257808248993,0.3839373163565132,0.26227010556099684
Val-d'Oise,0.30665926748057715,0.3528301886792453,0.3405105438401776
Guadeloupe,0.3226524254561638,0.3219848687138407,0.3553627058299956
Martinique,0.3601879440751776,0.3431125372450149,0.2966995186798075
Guyane,0.39136490250696376,0.2584101135633169,0.3502249839297193
La Réunion,0.36911796892098936,0.19708907857299188,0.43379295250601885
